Age_08_04,KM,HP,Quarterly_Tax,Weight,Guarantee_Period,Met_Color,Color,Automatic,CC,Doors,Mfr_Guarantee,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Parking_Assistant,Tow_Bar,Id,Price
23,46986,90,210,1165,3,1,Blue,0,1300,3,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,13500
23,72937,90,210,1165,3,1,Silver,0,1300,3,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,2,13750
30,38500,90,210,1170,3,0,Black,0,1300,3,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,5,13750
25,31461,192,100,1185,12,0,Silver,0,1800,3,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,11,20950
25,32189,192,100,1185,3,0,Red,0,1800,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,13,19600
31,23000,192,100,1185,3,1,Black,0,1800,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,21500
28,18739,192,100,1185,3,0,Grey,0,1800,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,16,22000
30,34000,192,100,1185,3,1,Grey,0,1800,3,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,17,22750
24,21716,110,85,1105,18,1,Blue,0,1600,3,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,18,17950
30,64359,110,85,1105,3,1,Grey,0,1600,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,20,16950
30,67660,110,85,1105,3,1,Blue,0,1600,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,21,15950
29,43905,110,100,1170,3,0,Grey,1,1600,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,22,16950
28,56349,110,85,1120,3,1,Black,0,1600,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,23,15950
28,32220,110,85,1120,3,1,Black,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,24,16950
25,28450,110,85,1120,3,1,Blue,0,1600,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,26,15950
27,34545,110,85,1120,3,1,Blue,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,27,17495
29,41415,110,85,1120,3,1,Black,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,28,15750
30,11090,110,85,1120,3,1,Blue,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,30,17950
